fetched_at,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,last_updated
2026-02-08T01:18:32,bitcoin,btc,Bitcoin,69327,1388194553518,78878657840,71604,67656,0.11033086852083415,-0.7346142459147467,2026-02-07T19:18:21.477Z
2026-02-08T01:18:32,ethereum,eth,Ethereum,2089.36,252958947133,45977025662,2113.07,2001.54,0.5222474510157676,2.5185829389242707,2026-02-07T19:18:21.252Z
2026-02-08T01:18:32,binancecoin,bnb,BNB,650.48,88922259166,1806444839,667.0,631.28,0.32314442988843073,-0.4358153944463594,2026-02-07T19:18:21.215Z
2026-02-08T01:18:32,solana,sol,Solana,88.37,50283002126,6628777474,89.4,84.66,0.7720573359887436,2.9502424994071648,2026-02-07T19:18:21.520Z
2026-02-08T01:19:32,bitcoin,btc,Bitcoin,69327,1388194553518,78878657840,71604,67656,0.11033086852083415,-0.7346142459147467,2026-02-07T19:18:21.477Z
2026-02-08T01:19:32,ethereum,eth,Ethereum,2089.36,252958947133,45977025662,2113.07,2001.54,0.5222474510157676,2.5185829389242707,2026-02-07T19:18:21.252Z
2026-02-08T01:19:32,binancecoin,bnb,BNB,650.48,88922259166,1806444839,667.0,631.28,0.32314442988843073,-0.4358153944463594,2026-02-07T19:18:21.215Z
2026-02-08T01:19:32,solana,sol,Solana,88.37,50283002126,6628777474,89.4,84.66,0.7720573359887436,2.9502424994071648,2026-02-07T19:18:21.520Z
2026-02-08T01:20:32,bitcoin,btc,Bitcoin,69330,1385667032280,79179727656,71604,67656,0.11501652878861833,-0.7299681332712369,2026-02-07T19:20:27.882Z
2026-02-08T01:20:32,ethereum,eth,Ethereum,2090.32,252271210747,46003378355,2113.07,2001.54,0.5684363347690087,2.5656891172080427,2026-02-07T19:20:28.238Z
2026-02-08T01:20:32,binancecoin,bnb,BNB,650.6,88727756998,1801354123,667.0,631.28,0.34132777664353625,-0.41776960747107833,2026-02-07T19:20:27.758Z
2026-02-08T01:20:32,solana,sol,Solana,88.34,50124918448,6545172580,89.4,84.66,0.7447728712485551,2.922368281734864,2026-02-07T19:20:31.730Z
2026-02-08T01:21:32,bitcoin,btc,Bitcoin,69330,1385667032280,79179727656,71604,67656,0.11501652878861833,-0.7299681332712369,2026-02-07T19:20:27.882Z
2026-02-08T01:21:32,ethereum,eth,Ethereum,2090.32,252271210747,46003378355,2113.07,2001.54,0.5684363347690087,2.5656891172080427,2026-02-07T19:20:28.238Z
2026-02-08T01:21:32,binancecoin,bnb,BNB,650.6,88727756998,1801354123,667.0,631.28,0.34132777664353625,-0.41776960747107833,2026-02-07T19:20:27.758Z
2026-02-08T01:21:32,solana,sol,Solana,88.34,50124918448,6545172580,89.4,84.66,0.7447728712485551,2.922368281734864,2026-02-07T19:20:31.730Z
2026-02-08T01:22:32,bitcoin,btc,Bitcoin,69321,1385667032280,79240961689,71604,67656,0.10258429429529146,-1.3823969850476425,2026-02-07T19:22:27.702Z
2026-02-08T01:22:32,ethereum,eth,Ethereum,2089.92,252271210747,46167977059,2113.07,2001.54,0.549021600315007,1.9001026361910267,2026-02-07T19:22:27.365Z
